tick, C0 sequence, C0 pattern, C0 pattern name, C0 row, C0 note, C1 sequence, C1 pattern, C1 pattern name, C1 row, C1 note
283, 4, 10, left 6, 27,  28:    |, 4, 11, right 6, 27,  28:   ---
284, 4, 10, left 6, 28,  29: G#3 I1 50, 4, 11, right 6, 28,  29:    |
285, 4, 10, left 6, 29,  30: G#3 I1 50, 4, 11, right 6, 29,  30:    |
286, 4, 10, left 6, 30,  31: A#3 I1 48, 4, 11, right 6, 30,  31:    |
287, 4, 10, left 6, 31,  32: G#3 I1 50, 4, 11, right 6, 31,  32:    |
288, 4, 10, left 6, 32,  33: C#4 I1 45, 4, 11, right 6, 32,  33: F#2 I2 16
289, 4, 10, left 6, 33,  34:    |, 4, 11, right 6, 33,  34:    |
290, 4, 10, left 6, 34,  35:    |, 4, 11, right 6, 34,  35:    |
291, 4, 10, left 6, 35,  36:    |, 4, 11, right 6, 35,  36:    |
292, 4, 10, left 6, 36,  37: D#4 I1 44, 4, 11, right 6, 36,  37:    |
293, 4, 10, left 6, 37,  38:    |, 4, 11, right 6, 37,  38:   ---
294, 4, 10, left 6, 38,  39: C-4 I1 46, 4, 11, right 6, 38,  39: G#2 I2 14
295, 4, 10, left 6, 39,  40:    |, 4, 11, right 6, 39,  40:    |
296, 4, 10, left 6, 40,  41:    |, 4, 11, right 6, 40,  41:    |
297, 4, 10, left 6, 41,  42: A#3 I1 48, 4, 11, right 6, 41,  42:    |
298, 4, 10, left 6, 42,  43: G#3 I1 50, 4, 11, right 6, 42,  43:    |
299, 4, 10, left 6, 43,  44:    |, 4, 11, right 6, 43,  44:   ---
300, 4, 10, left 6, 44,  45:    |, 4, 11, right 6, 44,  45:    |
301, 4, 10, left 6, 45,  46:    |, 4, 11, right 6, 45,  46:    |
302, 4, 10, left 6, 46,  47: G#3 I1 50, 4, 11, right 6, 46,  47:    |
303, 4, 10, left 6, 47,  48:    |, 4, 11, right 6, 47,  48:    |
304, 4, 10, left 6, 48,  49: D#4 I1 44, 4, 11, right 6, 48,  49: F-2 I2 17
305, 4, 10, left 6, 49,  50:    |, 4, 11, right 6, 49,  50:    |
306, 4, 10, left 6, 50,  51:    |, 4, 11, right 6, 50,  51:    |
307, 4, 10, left 6, 51,  52:    |, 4, 11, right 6, 51,  52:    |
308, 4, 10, left 6, 52,  53: C#4 I1 45, 4, 11, right 6, 52,  53:    |
309, 4, 10, left 6, 53,  54:    |, 4, 11, right 6, 53,  54:   ---
310, 4, 10, left 6, 54,  55:    |, 4, 11, right 6, 54,  55: F#2 I2 16
311, 4, 10, left 6, 55,  56:    |, 4, 11, right 6, 55,  56:    |
312, 4, 10, left 6, 56,  57:    |, 4, 11, right 6, 56,  57:    |
313, 4, 10, left 6, 57,  58:    |, 4, 11, right 6, 57,  58:    |
314, 4, 10, left 6, 58,  59:   ---, 4, 11, right 6, 58,  59:    |
315, 4, 10, left 6, 59,  60:    |, 4, 11, right 6, 59,  60:   ---
